0309	East Seaport Hotel - Ningdo	H		LONG		CITI	 US$07022004	H			
0310	KUNLUN MR. LIU'S CONFERENCE RM	H		BCDC		CITI	 US$07022004	H			
0311	Four Seasons Serv. Apart. H.K.	H	60602	FSSA		HK	 HK$07022004	A		HK OTTO	
0311.1	Four Seasons IFC Penthouse apar	h		FSSA		CITI	 US$07022004	h		HK OTTO	
0311.2	Hong Kong Station-Admin. Consultancy	H		FSSA		HK	 HK$07022004	A		HK OTTO	
0311.3	Hong Kong Station Additional Work to suites	H					 US$07022004	H		HK OTTO	
0312	XINYUAN BEIJING APARTMENTS	H		BCDC		CITI	 US$07022004	H		PALM BEACH	
0313	Park Lane Hotel/Cafe Rest.	h		PALA		HK	 HK$07022004	h			
0314	DEEP BLUE PLAZA	h		DEEP		HK	 HK$07022004	A			
0314.1	Deep Blue Plaza Apartament F	h	60604			HK	 HK$07022004	A		HK OTTO	
0316	Four Seasons Mumbai	H	60630	MAGUS		CITI	 US$07022004	H		PB-US	
0316.1	Four Seasons Mumbai-Health Club Additional Service	h	0			CITI	 US$07022004	A		PALM BEACH	
0316.2	Four Seasons Mumbai Executive Club-Level 33	H	0				 US$07022004	H		PB-US	
0316.3	Four Sesaons Mumbai L34 - Alfresco Bar	H	0				 US$07022004	H		PB-US	
0317	Hyatt Regency Nanjing	H	60605	SSMI		HK	 US$07022004	A		PALM BEACH	
0317.1	Hyatt Regency Nanjing-Additional Services	H	0			HK	 US$07022004	A		PALM BEACH	
0319	Deep Blue Plaza/  Penthouse	H		DEEP		HK	 HK$07022004	H			
0401	Shimao Sheshan	H	60617	SSMI2		CITI	 US$07022004	A		PALM BEACH	
0402	Spring River & Flower Moon	h	60611	RSFM		HK	 HK$07022004	H			
0404	Dong Guan - Hyatt Regency Hotel	h	60602			HK	 HK$07022004	A		HK OTTO	
0405	Dong Guan - Shek Pai Hotel - China	H					 US$07022004	H			
0406	Golden Harvest	H					 US$07022004	H			
0410	Shimao Sheshan Villas	H	60617			CITI	 US$07022004	H	HOLD		
0411	H.R. Delhi Lobby	H	60605			CITI	 US$07022004	H		PB-US	
0413	Jimmy Yu's Restaurant	H						H		PALM BEACH	
0414	Shangri-La Kowloon Porte de Cochere	H	60605				 HK$07022004	A		HK OTTO	
0415	Hyatt Regency Colombo, Sri Lanka	H	60606			CITI	 US$07022004	H	HOLD	PB-US	
0416	Mr. William Doo's Residence	H	60602			HK	 US$07022004	H		HK	
0419	Beijing Shangri-La Exterior Arch. Concept	H					 US$07022004	H			
0420	Xian Shangri-La Hotel  Exterior Arch. Concept	H					 US$07022004	H			
0421	Grand Hyatt Hong Kong	H	60605			HK	 US$07022004	H	SHOULD WE REMOVE THIS PROJECT FROM THE BILLING DRAFT REPORT?	HK	
0421.1	Grand Hyatt Hong Kong-Additional Service	H	0		9/7/2006 0:00:00		 HK$07022004	A		HK	
0421.2	Grand Hyatt Hong Kong-Signage	H	0		9/7/2006 0:00:00		 HK$07022004	H		HK	
0421.3	GH HK - Ball room foyer, carpet rugs at G/F	h	0				 HK$07022004			HK	
0421.4	GH HK - Grissini Lift Lobby at 2/F	h	0				 HK$07022004			HK	
0421.5	GH HK - Bell Desk G/F	h	0				 HK$07022004			HK	
0421.6	GH HK - Lobby Entrance, carperr gugs at G/F	h	0				 HK$07022004			HK	
0421.7	GH HK - Lobby Seating Group at G/F and M/F	H	0				 HK$07022004	H	SHOULD WE REMOVE THIS PROJECT FROM THE BILLING DRAFT REPORT?	HK	
0421.8	G. H. H. K. -Grand Café Serv Station & Recep Desk	H	0				 HK$07022004	H		HK	
0422	Hyatt Regency Dong Guan F&B Exhibition Center	h	60602				 US$07022004	A			
0423	Four Seasons Munbai /Phase II Serv. Ap.	H	60630			CITI	 US$07022004	H		PB-Mauritus	
0424	Edsa Shangri-La - Ext. Arch. Concept	H	60599				 US$07022004	A			
0501	InterContinental Grand Stanford	H	60603					A			
0502	Harbour Vantage Management Ltd.	H	60602				 US$07022004	A		HK OTTO	
0503	Zhoushan Hotel	h	60607			HK		A		HK	
0504	Grand Hyatt Kuala Lumpur	H	60602			HK	 US$07022004	H		HK	
0504.1	Grand Hyatt Kuala Lumpur - Add Fee	H	0				 US$07022004	H		HK	
0504.2	Grand Hyatt Kuala Lumpur - Add. Serv.	H	0				 US$07022004	A		HK	
0505	Nanjing International Plaza Hotel	H				HK		H		HK	
0507	Shimao Sheshan Le Meridien Hotel Additional Areas	H	60617				 US$07022004	H		PALM BEACH	
0508	Amerit Sales Office, Singer Island	H			1/1/2005 0:00:00		 US$07022004	A			
0509	Four Seasons Kremlin, Moscow	H			2/21/2005 0:00:00		 US$07022004	H			
